video_id,caption
Untitled8_prores_scene_015,a close-up of the sky with clouds in the background
Untitled8_prores_scene_015,a light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light blue light
Untitled8_prores_scene_015,a sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sandstone sand
Untitled8_prores_scene_015,"a slat of a fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric, fabric,"
Untitled8_prores_scene_015,a sand beach with a sand beach and a sand beach
Untitled8_prores_scene_015,a tv identifies the time of day
Untitled8_prores_scene_015,a tv screen with a remote control
DRIVING_prores_scene_002,a car in a parking lot
DRIVING_prores_scene_002,a car in the night
DRIVING_prores_scene_002,a car is a vehicle that is driven by a person
DRIVING_prores_scene_002,a car in the film 'the car'
DRIVING_prores_scene_002,a car is driving down a street
DRIVING_prores_scene_002,a car is a vehicle that is driven by a person
Untitled8_prores_scene_003,a blurred image of a tree in a forest
Untitled8_prores_scene_003,a ray of light through a window
Untitled8_prores_scene_019,a sand beach in a sand dunes
Untitled8_prores_scene_019,reflected in a window
Untitled8_prores_scene_019,a smudge on a glass window
Untitled8_prores_scene_019,a sand sand sand sand sand sand sand sand sand sand sand sand sand sand sand s
Untitled8_prores_scene_018,a white screen with a blue background
Untitled8_prores_scene_018,a white background with a blue sky
Untitled8_prores_scene_018,a white tv screen with a blue screen
Untitled8_prores_scene_022,a close up of a bird in flight
Untitled8_prores_scene_022,a leaf on a tree
Untitled8_prores_scene_022,a leaf on a tree branch
Untitled8_prores_scene_022,a tree with leaves and a leaf shaped pattern
Untitled8_prores_scene_022,a pixelated image of a leaf in a forest
Untitled8_prores_scene_022,a pixelated image of a leaf
Untitled8_prores_scene_022,a leaf in the forest
Untitled8_prores_scene_002,in the sky through a window
Untitled8_prores_scene_002,a sunbeam through a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,in the sky through a window
Untitled8_prores_scene_002,a sun shining through a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,a view of a forest through a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,a light beam reflected in a window
Untitled8_prores_scene_002,a light shining through a window
Untitled8_prores_scene_002,a light reflected through a window
Untitled8_prores_scene_002,in which the image was taken
Untitled8_prores_scene_002,a blurry image of a tree in a forest
Untitled8_prores_scene_002,a tree in the forest
Untitled8_prores_scene_002,a tree in the forest
Untitled8_prores_scene_002,a tree in the sky
Untitled8_prores_scene_002,a tree in the forest
Untitled8_prores_scene_002,a close up of a tree in a forest
Untitled8_prores_scene_002,in which the tree is reflected in the water
Untitled8_prores_scene_002,a tree in the forest
Untitled8_prores_scene_002,a blurry image of trees in a forest
Untitled8_prores_scene_002,in which the trees are blurred by the wind
Untitled8_prores_scene_002,a blurred image of a tree in a forest
Untitled8_prores_scene_002,a blurry image of a tree in the forest
IMG_4363_prores_scene_001,a train traveling through a forest
IMG_4363_prores_scene_001,a train in the forest
IMG_4363_prores_scene_001,a blurred image of a tree in a forest
Untitled8_prores_scene_014,a sand beach with a blue sky and a white cloud
Untitled8_prores_scene_014,a textured background with a light blue sky
Untitled8_prores_scene_014,a blue sky with clouds and a blue sky
Untitled8_prores_scene_014,a textured background with a pattern of a pattern of a pattern of a pattern of a pattern of a pattern of a pattern of a pattern of a pattern of a pattern of a pattern
Untitled8_prores_scene_014,a white background with a blue sky
Untitled8_prores_scene_014,a tv screen with a white background
Untitled8_prores_scene_014,a white background with a blue sky
Untitled8_prores_scene_014,a clock with a clock face on it
Untitled8_prores_scene_014,a white tee with a black background
Untitled8_prores_scene_014,a blue sky with clouds and a blue sky
Untitled8_prores_scene_014,a blue light reflects off a blue background
Untitled8_prores_scene_014,a blue background with a blue sky
Untitled8_prores_scene_014,a smoky sky with clouds and a cloudy sky
Untitled8_prores_scene_014,a smudge of light on a textured background
Untitled8_prores_scene_014,a twilight sky with a twilight sky
Untitled8_prores_scene_014,a smudge of dust on a window screen
Untitled8_prores_scene_014,a spherical object that is a spherical object
IMG_0049_prores_scene_001,a firework display at the st john's fireworks display at the st john's fireworks display at the st john's fireworks display at the st john'
IMG_0049_prores_scene_001,a firework display at the st johns borough fireworks display
IMG_0049_prores_scene_001,a firework display at the st ludlow fireworks display at the st ludlow fireworks display at the st ludlow fireworks display at the st lu
IMG_0049_prores_scene_001,a fire in the city
IMG_0049_prores_scene_001,a firework display at the st johns st johns st johns st johns st johns st johns st johns
IMG_0049_prores_scene_001,symphony of the symphony of the symphony of the symphony of the symphony of the symphony of the 
IMG_0049_prores_scene_001,a firework display at the st ludlow fireworks display at the st ludlow fireworks display at the st ludlow fireworks display at the st lu
IMG_0049_prores_scene_001,a firework explodes in the sky
IMG_0049_prores_scene_001,a firework display at the st johns fireworks display at the st johns fireworks display at the st johns fireworks display at the st johns fireworks display
IMG_0049_prores_scene_001,a firework display at the st john's firework display
IMG_0049_prores_scene_001,a fire in a city
IMG_0049_prores_scene_001,a firework display at the st johns st johns st johns st johns st johns st johns st johns
IMG_0049_prores_scene_001,a fire in the city
IMG_0049_prores_scene_001,a firework display at the st johns st johns st johns st johns st johns st johns st johns
IMG_0049_prores_scene_001,a firework display at the st john's firework display
IMG_0049_prores_scene_001,a fire in a factory
IMG_0049_prores_scene_001,a fire in the city of san francisco
IMG_0049_prores_scene_001,fires that engulf the city of san francisco
IMG_0049_prores_scene_001,a fire in a city
IMG_0049_prores_scene_001,a firework display at the st johns fireworks display at the st johns fireworks display at the st johns fireworks display at the st johns fireworks display
IMG_0049_prores_scene_001,a fire in a factory
IMG_0049_prores_scene_001,a firework display at the st johns st johns st johns st johns st johns st johns st johns
IMG_0049_prores_scene_001,of the firework display at the st john's firework display
IMG_0049_prores_scene_001,a firework explodes in the sky
Untitled8_prores_scene_009,a tree trunk in the sunlight
Untitled8_prores_scene_009,reflected in the trees
Untitled8_prores_scene_009,a sunbeam reflects on a tree trunk
Untitled8_prores_scene_009,a tree trunk reflected in a tree trunk
Untitled8_prores_scene_009,reflected in a tree trunk
Untitled8_prores_scene_009,a tree in the forest
Untitled8_prores_scene_009,in the shadows of trees
Untitled8_prores_scene_009,a shadow of a tree in the sunlight
Untitled8_prores_scene_009,a tree trunk in the sunlight
Untitled8_prores_scene_013,reflected in the water
Untitled8_prores_scene_013,a sand dune in the desert
Untitled8_prores_scene_013,a cloudy sky with a cloudy sky
Untitled8_prores_scene_013,a saturating light in the sky
Untitled8_prores_scene_013,a smoky sky with clouds and rain
Untitled8_prores_scene_013,a spherical object in a spherical object
Untitled8_prores_scene_005,a room with a window and a wall
Untitled8_prores_scene_005,a twilight sky with a twilight sky
Untitled8_prores_scene_005,a view of a room with a window
Untitled8_prores_scene_005,a plane flying over a green field
Untitled8_prores_scene_005,a close up of a square in a dark background
Untitled8_prores_scene_005,a cloudy sky with a cloudy sky
Untitled8_prores_scene_005,a cloud in the sky
Untitled8_prores_scene_005,a white sheet of paper with a blue sky
Untitled8_prores_scene_005,a cloudy sky with a cloudy sky
Untitled8_prores_scene_005,a cloudy sky with a cloudy sky
Untitled8_prores_scene_004,a tv screen with a black screen
Untitled8_prores_scene_004,reflected in a mirror
Untitled8_prores_scene_004,a tv screen identifies the time of day
Untitled8_prores_scene_004,a smudge of dust on a window
Untitled8_prores_scene_004,a solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary s
Untitled8_prores_scene_004,a smudge of light on a white background
Untitled8_prores_scene_004,a sand dune in the sand dunes
Untitled8_prores_scene_004,a white light is shining on a white wall
Untitled8_prores_scene_004,a tv identifies the time of day
Untitled8_prores_scene_004,a smudge of dust on a surface
Untitled8_prores_scene_004,a white striped background with a blue sky
Untitled8_prores_scene_012,a tv screen is a screen that displays the time of day
Untitled8_prores_scene_008,a tree with branches and leaves in the sunlight
Untitled8_prores_scene_008,reflected in the tree branches
Untitled8_prores_scene_008,a tree in the forest with sunlight shining through the leaves
Untitled8_prores_scene_008,a tree trunk in the sunlight
Untitled8_prores_scene_008,a tree trunk in the forest
Untitled8_prores_scene_008,a tree trunk is seen through a window
Untitled8_prores_scene_008,reflected in the tree branches
Untitled8_prores_scene_008,a shadow of a tree in the dark
Untitled8_prores_scene_008,a tree trunk is reflected in the light
Untitled8_prores_scene_008,a tree trunk in the shadow of a tree
Untitled8_prores_scene_007,in which the object is seen from a distance
Untitled8_prores_scene_007,a close up of a tree in a forest
Untitled8_prores_scene_011,a tree in the forest
Untitled8_prores_scene_011,in which the sun is shining through the trees
Untitled8_prores_scene_011,a light shining through a forest
Untitled8_prores_scene_011,a forest in the forest
Untitled8_prores_scene_011,a blurred image of a tree in a forest
Untitled8_prores_scene_011,a silhouette of a tree in the forest
Untitled8_prores_scene_011,in the sky and shadows of trees
Untitled8_prores_scene_011,a shadow of a tree in the forest
Untitled8_prores_scene_011,a tree in the forest
Untitled8_prores_scene_011,rays of light that are reflected in the sky
Untitled8_prores_scene_011,a ray of light streaks across the sky
Untitled8_prores_scene_011,a ray of light streaking through a cloud
Untitled8_prores_scene_011,"a spherical object in a spherical object , a spherical object in a spherical object , a spherical object in a"
2_prores_scene_001,a boat in the sea
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,a sand beach in the sea
2_prores_scene_001,a ship in the sea
2_prores_scene_001,a boat in the sea
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,"a wave , a wave , a wave , a wave , a wave , a wave , a wave , a wave , a wave , a wave "
2_prores_scene_001,a boat in the sea
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,a sand beach in the sea
2_prores_scene_001,a boat in the sea
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,a boat in the sea
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,a boat in the water
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,a boat in the water
2_prores_scene_001,a sailor sailor sailor sailor sailor sailor sailor sailor sailor sailor sailor sa
2_prores_scene_001,a boat in the sea
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,a boat in the water
2_prores_scene_001,a swan in the water
2_prores_scene_001,a boat in the sea
2_prores_scene_001,a sunrise or sunset
2_prores_scene_001,a boat sails in the sea at sunset
2_prores_scene_001,a boat in the water
IMG_4133_prores_scene_001,a bowling alley with a bowling ball in the middle of the lane
IMG_4133_prores_scene_001,a bowling alley with a light fixture
IMG_4133_prores_scene_001,a bowling ball is a ball that is thrown in a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling ball in the middle of the lane
IMG_4133_prores_scene_001,a bowling alley with a light and a bowling ball
IMG_4133_prores_scene_001,a bowling game with a friend
IMG_4133_prores_scene_001,a bowling ball is a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a bowling ball in the middle of the lane
IMG_4133_prores_scene_001,a bowling alley with a light fixture
IMG_4133_prores_scene_001,a bowling game with a friend
IMG_4133_prores_scene_001,a bowling alley with a bowling alley and a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a bowling ball in the middle of the lane
IMG_4133_prores_scene_001,a bowling alley with a light fixture
IMG_4133_prores_scene_001,a bowling alley is a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a large crowd of people
IMG_4133_prores_scene_001,a bowling alley with a light fixture
IMG_4133_prores_scene_001,a bowling alley is a bowling alley with a bowling alley and a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling alley and a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling pin in the middle
IMG_4133_prores_scene_001,a bowling alley with a large crowd of people
IMG_4133_prores_scene_001,a bowling alley with a light fixture
IMG_4133_prores_scene_001,a bowling alley is a bowling alley with a bowling alley and a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling alley and a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a large crowd of people
IMG_4133_prores_scene_001,a bowling alley with a light fixture
IMG_4133_prores_scene_001,a bowling alley is a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a large crowd
IMG_4133_prores_scene_001,a bowling alley with a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a bowling ball in the middle of the lane
IMG_4133_prores_scene_001,a bowling alley with a light fixture and a bowling ball
IMG_4133_prores_scene_001,a bowling alley is a bowling alley with a bowling lane and a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a bowling alley and a bowling alley
IMG_4133_prores_scene_001,a bowling alley in a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling ball in the middle of the floor
IMG_4133_prores_scene_001,a bowling alley with a light and a bowling ball
IMG_4133_prores_scene_001,a bowling game with a bowling ball
IMG_4133_prores_scene_001,a bowling ball and a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a bowling ball in the middle of the lane
IMG_4133_prores_scene_001,a bowling alley with a light and a bowling ball
IMG_4133_prores_scene_001,a bowling game with a bowling ball
IMG_4133_prores_scene_001,a bowling ball and a bowling ball
IMG_4133_prores_scene_001,a woman is standing in front of a bowling alley with a bowling ball in her hand
IMG_4133_prores_scene_001,a bowling alley with a light and a bowling ball
IMG_4133_prores_scene_001,a bowling game with a bowling ball
IMG_4133_prores_scene_001,a woman is standing in front of a bowling alley
IMG_4133_prores_scene_001,a bowling ball and a bowling ball
IMG_4133_prores_scene_001,a woman is bowling with a bowling ball in a bowling alley
IMG_4133_prores_scene_001,a bowling alley with a bowling ball
IMG_4133_prores_scene_001,a bowling game for seniors
IMG_4133_prores_scene_001,a bowling ball and a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a bowling ball
IMG_4133_prores_scene_001,a bowling alley with a light and a dark background
IMG_4133_prores_scene_001,a bowling game with a tv
IMG_4133_prores_scene_001,a bowling alley is a bowling alley with a bowling lane and a bowling ball
IMG_4133_prores_scene_001,a bowling ball is a bowling ball
Untitled8_prores_scene_010,a light shining through a tree
Untitled8_prores_scene_010,a light shining through a tree
Untitled8_prores_scene_010,a tree with a light shining through the leaves
Untitled8_prores_scene_010,reflected in the trees
Untitled8_prores_scene_010,a light shining through a window
Untitled8_prores_scene_010,a ray of light shining through a tree
Untitled8_prores_scene_010,"a tree in the forest , a tree in the forest , a tree in the forest , a tree in the forest , a tree in the forest , a tree in the forest , "
Untitled8_prores_scene_006,a cloudy sky with a cloudy sky
Untitled8_prores_scene_006,a plane flying over the sky with clouds in the background
Untitled8_prores_scene_006,in the background of a photograph
Untitled8_prores_scene_006,a smudge of dust on a window
Untitled8_prores_scene_006,a smoky sky with a smoky sky
Untitled8_prores_scene_006,a smudge of dust on a surface
Untitled8_prores_scene_006,a sandstorm is a storm that is a large storm that is a large storm that is a large storm that is a large storm that is a large storm that is a large storm that is 
Untitled8_prores_scene_006,a sandstorm in the sky
Untitled8_prores_scene_006,a sand dune in the sand dunes of a sand dune
Untitled8_prores_scene_006,a cloud in the sky
Untitled8_prores_scene_006,in the background of a photograph
Untitled8_prores_scene_006,in the background of the image
Untitled8_prores_scene_006,a twilight twilight twilight twilight twilight twilight twilight twilight twilight t
Untitled8_prores_scene_006,a blurred image of a tree in a forest
Untitled8_prores_scene_001,in which the tree is reflected in the water
Untitled8_prores_scene_001,a blurred image of a tree in a forest
Untitled8_prores_scene_001,in the sky through a window
Untitled8_prores_scene_001,a light shining through a window
Untitled8_prores_scene_001,in the sky through a window
Untitled8_prores_scene_001,a sun shining through a window
Untitled8_prores_scene_001,a light shining through a window
Untitled8_prores_scene_001,a light reflected in a window
Untitled8_prores_scene_001,a view of a forest through a window
Untitled8_prores_scene_001,in the sky through a window
Untitled8_prores_scene_001,a light shining through a window
Untitled8_prores_scene_001,in the sky through the window
Untitled8_prores_scene_001,a light shining through a window
Untitled8_prores_scene_017,a blue sky with clouds and a blue sky
Untitled8_prores_scene_017,a tv screen with a blue sky
Untitled8_prores_scene_017,a tv identifies the time of day
Untitled8_prores_scene_017,a solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary s
Untitled8_prores_scene_017,a sandstorm is a storm that occurs when a large amount of rain falls on a large area
Untitled8_prores_scene_017,a solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary solitary s
Untitled8_prores_scene_017,a tv screen is a screen that displays the time of day
Untitled8_prores_scene_017,a sand beach with a blue sky and a cloudy sky
Untitled8_prores_scene_017,a twilight sky with a twilight sky
Untitled8_prores_scene_017,a sandstorm is a sandstorm
Untitled8_prores_scene_021,a sand beach in a sand dunes
Untitled8_prores_scene_021,a light reflected off a cloud
Untitled8_prores_scene_021,a grey sky with a cloudy sky
Untitled8_prores_scene_021,a white teddy bear with a blue hat
Untitled8_prores_scene_021,a cloudy sky with a cloudy sky
Untitled8_prores_scene_021,reflected in the water
Untitled8_prores_scene_021,a smudge on a window
Untitled8_prores_scene_021,a sand dune in the sky
Untitled8_prores_scene_021,a sand beach with a blue sky and a white cloud
Untitled8_prores_scene_021,a light blue sky with a cloudy sky
Untitled8_prores_scene_021,a grey coloured wall with a blue sky
Untitled8_prores_scene_021,a blue sky with clouds and a blue sky
Untitled8_prores_scene_020,a sand beach with a sand dune and a sand dune
Untitled8_prores_scene_020,a twilight sky with a twilight sky
Untitled8_prores_scene_020,a sand dune in the sand dunes of a sand dune
Untitled8_prores_scene_020,a tiger in a tree
Untitled8_prores_scene_020,a white background with a blue sky
Untitled8_prores_scene_020,a white light is shining on a white wall
Untitled8_prores_scene_020,a smudge of dust on a white wall
Untitled8_prores_scene_020,a white sand beach with a blue sky
Untitled8_prores_scene_020,a blurry image of a skier in the snow
Untitled8_prores_scene_020,a blurry image of a tree in a forest
Untitled8_prores_scene_020,a blurred image of a person in a snowy forest
Untitled8_prores_scene_020,a skier is flying down a hill
Untitled8_prores_scene_016,a tv screen with a black screen
Untitled8_prores_scene_016,reflected in a window
Untitled8_prores_scene_016,a tv screen with a clock
Untitled8_prores_scene_016,reflected in the glass
Untitled8_prores_scene_016,a twilight twilight twilight twilight twilight twilight twilight twilight twilight t
Untitled8_prores_scene_016,a smudge on a glass surface
Untitled8_prores_scene_016,a tee a tee a tee a tee a tee a tee a tee a tee 
DRIVING_prores_scene_001,a car driving down a street
DRIVING_prores_scene_001,a car crash in a city
DRIVING_prores_scene_001,a car is driving down the street
DRIVING_prores_scene_001,a car sat in the back seat of a car
